nome,telefone,site,endereco,avaliacoes,nota,categoria
LAST FIT - Personal Boutique,,https://www.lastfit.com.br/,"LAST FIT - Personal Boutique - R. 7 de Maio, 665 - Sala 101 - Itoupava Norte, Blumenau - SC, 89052-050",28,5.000000,Gym
Franciele Hahne Personal Studio,(47) 99222-0192,,"Franciele Hahne Personal Studio - Rua Uruguai, 111 - sala 04 - Ponta Aguda, Blumenau - SC, 89050-060",27,5.000000,Personal trainer
MPFIT Studio Personal,(47) 99632-7766,,"MPFIT Studio Personal - Alameda Rio Branco, 941 - Jardim Blumenau, Blumenau - SC, 89010-301",37,5.000000,Personal trainer
STUDIO FITNESS TATIANE BORGES,(47) 99726-4064,https://www.instagram.com/studiofitnesstatianeborges/,"STUDIO FITNESS TATIANE BORGES - R. Amazonas, 1852 - Garcia, Blumenau - SC, 89021-000",30,4.900000,Personal trainer
Studio Aljava Personal Training,(47) 99101-3207,https://www.instagram.com/aljavastudiobnu/,"Studio Aljava Personal Training - R. Alm. Barroso, 767 - Vila Nova, Blumenau - SC, 89035-401",49,4.800000,Personal trainer
MOVE.ME Treinamento Funcional,(47) 3237-7966,http://www.movemefuncional.com.br/,"MOVE.ME Treinamento Funcional - R. São Paulo, 245 - Sala 101 (térreo - Victor Konder, Blumenau - SC, 89012-001",62,4.900000,Fitness center
SB Training,,,"SB Training - R. Alberto Felício Adriano, 653 - Fortaleza, Blumenau - SC, 89055-050",15,5.000000,Personal trainer
Studio Jairo Pereira,(47) 98845-8999,,"Studio Jairo Pereira - R. Victor Hering, 468 - Bom Retiro, Blumenau - SC, 89010-520",5,5.000000,Personal trainer
Fabrício Santana - Treinamento Funcional,(47) 99956-3689,https://linktr.ee/personal.fabricio,"Fabrício Santana - Treinamento Funcional - R. São Joaquim, 28 - Centro, Blumenau - SC, 89012-420",22,5.000000,Volleyball instructor
Healing Move Personal Studio,(47) 99217-5525,,"Healing Move Personal Studio - Rua Frei Estanislau Schaette, 2187 - Velha, Blumenau - SC, 89037-003",21,5.000000,Personal trainer
Studio Simone Menegazzo Esthetic & Fitness,(47) 99757-3379,,"Studio Simone Menegazzo Esthetic & Fitness - R. Clara Persuhn, 468 - Itoupava Seca, Blumenau - SC, 89030-140",42,5.000000,Physical fitness program
Cristiano Bàptistell Personal Trainer,(47) 99929-9233,https://linkme.bio/crismichelff,"Cristiano Bàptistell Personal Trainer - R. Humberto de Campos, 77 - Centro, Blumenau - SC, 89012-499",22,5.000000,Personal trainer
Studio Rafael Possamai - Treinamento Funcional,(47) 99130-7190,,"Studio Rafael Possamai - Treinamento Funcional - Rua Engenheiro Paul Werner, 108 - Itoupava Seca, Blumenau - SC, 89030-100",34,5.000000,Fitness center
Full Body Academia Blumenau,(47) 99952-4828,,"Full Body Academia Blumenau - R. Itajaí, 2560 - Vorstadt, Blumenau - SC, 89015-203",423,4.900000,Gym
"VT Running | Grupo de corrida em Blumenau e Gaspar, Planilha de corrida, Treinamento funcional, Personal Trainer",(47) 98900-6606,https://vtrunning.com.br/,"VT Running | Grupo de corrida em Blumenau e Gaspar, Planilha de corrida, Treinamento funcional, Personal Trainer - R. Dois de Setembro, 1741 - Itoupava Norte, Blumenau - SC, 89052-002",13,5.000000,Personal trainer
Fit Up - Treinamento Físico,(47) 99117-1906,https://www.instagram.com/fitup.treinamentofisico/,"Fit Up - Treinamento Físico - R. Augusto Gustavo Isleb, 160 - Velha Central, Blumenau - SC, 89042-282",38,5.000000,Personal trainer
Studio7 Fitness & Health,(47) 3209-8778,https://www.studio7fitness.com.br/,"Studio7 Fitness & Health - R. Alm. Barroso, 201 - Vila Nova, Blumenau - SC, 89035-401",81,4.900000,Personal trainer
Leandro Diman Personal Studio,(47) 99220-5356,,"Leandro Diman Personal Studio - R. Itajaí, 3283 - Vorstadt, Blumenau - SC, 89015-203",5,5.000000,Gym
STUDIO 22 PERSONAL FIT,(47) 99185-4116,,"STUDIO 22 PERSONAL FIT - R. Dorval Roncáglio, 70 - 2º piso - Água Verde, Blumenau - SC, 88041-683",6,4.800000,Gym
GSM Personal & Fitness,(47) 99124-9191,http://www.gsmpersonal.com.br/,"GSM Personal & Fitness - Alameda Rio Branco, 840 - Vila Formosa, Blumenau - SC, 89010-300",21,4.900000,Fitness center
Clínica Veterinária Satori Água Verde,(47) 3080-0820,http://satoricv.com.br/,"Clínica Veterinária Satori Água Verde - R. Johann Ohf, 362 - Água Verde, Blumenau - SC, 89042-300",403,4.700000,Animal hospital
Veterinary Hospital Santa Catarina,(47) 3037-1288,http://www.hovetsc.com.br/,"Veterinary Hospital Santa Catarina - R. Iguaçu, 177 - Itoupava Seca, Blumenau - SC, 89030-030",818,4.600000,Animal hospital
Clinica Veterinaria Bicho Mascote 24 horas,(47) 3285-8838,https://www.bichomascote.com.br/,"Clinica Veterinaria Bicho Mascote 24 horas - R. Benjamin Constant, 2265 - Vila Nova, Blumenau - SC, 89035-100",358,4.900000,Animal hospital
Arca Clínica Veterinária 24 Horas,(47) 3035-3585,https://www.veterinariaarca.com.br/,"Arca Clínica Veterinária 24 Horas - R. Joinville, 746 - Vila Nova, Blumenau - SC, 89035-200",734,4.700000,Veterinarian
