nome,telefone,site,endereco,reviews,nota,rating,categoria,tem_site,segmento_peso,telefone_tipo,whatsapp_telefone,score,site_valido,whatsapp,whatsapp_telefone,agendamento,instagram,formulario,url_final,erro_diagnostico,dor,oferta,tipo_oferta,mensagem
Harmonizze Odontologia Saúde e Beleza,(47) 93080-5037,,"Harmonizze Odontologia Saúde e Beleza - R. São Paulo, 1750 - Itoupava Seca, Blumenau - SC, 89030-000",205,4.900000,4.9,Dental clinic,nao,40,celular,provavel,120,nao,nao,provavel,nao,nao,nao,,sem_site,nao tem agendamento online e pode estar perdendo consultas para concorrentes com agenda digital,sistema de agendamento online + landing page simples,automacao,"Oi, Harmonizze Odontologia Saúde e Beleza, tudo certo? Analisei sua presença digital e percebi que nao tem agendamento online e pode estar perdendo consultas para concorrentes com agenda digital. Posso te entregar sistema de agendamento online + landing page simples por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
Clinimais Clínica Odontológica,(47) 3332-3011,,"Clinimais Clínica Odontológica - R. Pref. Leopoldo Schramm, 85 - Coloninha, Gaspar - SC, 89114-442",172,4.900000,4.9,Dentist,nao,40,fixo,indefinido,120,nao,nao,indefinido,nao,nao,nao,,sem_site,nao foi possivel detectar sinais fortes de automacao no canal principal,landing page simples com WhatsApp e formulario,landing_page,"Oi, Clinimais Clínica Odontológica, tudo certo? Analisei sua presença digital e percebi que nao foi possivel detectar sinais fortes de automacao no canal principal. Posso te entregar landing page simples com WhatsApp e formulario por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
Dra. Nádia Verter | Lentes em Resina em Blumenau,(47) 99755-8847,,"Dra. Nádia Verter | Lentes em Resina em Blumenau - R. Francisco Vahldieck, 955 - 1° Andar - Fortaleza, Blumenau - SC, 89056-001",145,5.000000,5.0,Dental clinic,nao,40,celular,provavel,120,nao,nao,provavel,nao,nao,nao,,sem_site,nao tem agendamento online e pode estar perdendo consultas para concorrentes com agenda digital,sistema de agendamento online + landing page simples,automacao,"Oi, Dra. Nádia Verter | Lentes em Resina em Blumenau, tudo certo? Analisei sua presença digital e percebi que nao tem agendamento online e pode estar perdendo consultas para concorrentes com agenda digital. Posso te entregar sistema de agendamento online + landing page simples por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
Durante Odontologia Especializada,(47) 99292-1157,,"Durante Odontologia Especializada - R. Augusto Beduschi, 232 - terreo - Centro, Gaspar - SC, 89110-070",129,4.900000,4.9,Dental clinic,nao,40,celular,provavel,120,nao,nao,provavel,nao,nao,nao,,sem_site,nao tem agendamento online e pode estar perdendo consultas para concorrentes com agenda digital,sistema de agendamento online + landing page simples,automacao,"Oi, Durante Odontologia Especializada, tudo certo? Analisei sua presença digital e percebi que nao tem agendamento online e pode estar perdendo consultas para concorrentes com agenda digital. Posso te entregar sistema de agendamento online + landing page simples por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
Odontoexcellence Gaspar,(47) 99711-9978,,"Odontoexcellence Gaspar - Rod. Dep. Francisco Mastella, 95 - Sete de Setembro, Gaspar - SC, 89110-000",107,4.900000,4.9,Dental clinic,nao,40,celular,provavel,120,nao,nao,provavel,nao,nao,nao,,sem_site,nao tem agendamento online e pode estar perdendo consultas para concorrentes com agenda digital,sistema de agendamento online + landing page simples,automacao,"Oi, Odontoexcellence Gaspar, tudo certo? Analisei sua presença digital e percebi que nao tem agendamento online e pode estar perdendo consultas para concorrentes com agenda digital. Posso te entregar sistema de agendamento online + landing page simples por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
Renovar Odontologia,(47) 98910-4495,,"Renovar Odontologia - R. Augusto Beduschi - Centro, Gaspar - SC, 89110-070",78,5.000000,5.0,Dentist,nao,40,celular,provavel,120,nao,nao,provavel,nao,nao,nao,,sem_site,nao foi possivel detectar sinais fortes de automacao no canal principal,landing page simples com WhatsApp e formulario,landing_page,"Oi, Renovar Odontologia, tudo certo? Analisei sua presença digital e percebi que nao foi possivel detectar sinais fortes de automacao no canal principal. Posso te entregar landing page simples com WhatsApp e formulario por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
Odontologia Fortaleza,(47) 3339-1033,,"Odontologia Fortaleza - R. Francisco Vahldieck, 777 - sala 10 - Fortaleza, Blumenau - SC, 89057-000",68,4.500000,4.5,Dental clinic,nao,40,fixo,indefinido,120,nao,nao,indefinido,nao,nao,nao,,sem_site,nao tem agendamento online e pode estar perdendo consultas para concorrentes com agenda digital,sistema de agendamento online + landing page simples,automacao,"Oi, Odontologia Fortaleza, tudo certo? Analisei sua presença digital e percebi que nao tem agendamento online e pode estar perdendo consultas para concorrentes com agenda digital. Posso te entregar sistema de agendamento online + landing page simples por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
Clínica Veterinária Vida Animal,(47) 3327-2582,,"Clínica Veterinária Vida Animal - R. Benjamin Constant, 1582 - Escola Agrícola, Blumenau - SC, 89037-501",701,4.600000,4.6,Veterinarian,nao,35,fixo,indefinido,115,nao,nao,indefinido,nao,nao,nao,,sem_site,nao existe agenda online para consultas e retornos,sistema de agendamento online + lembretes,automacao,"Oi, Clínica Veterinária Vida Animal, tudo certo? Analisei sua presença digital e percebi que nao existe agenda online para consultas e retornos. Posso te entregar sistema de agendamento online + lembretes por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
Animal Health Veterinary Clinic,(47) 99975-8515,,"Animal Health Veterinary Clinic - Vila Nova, Blumenau - SC, 89035-300",169,4.600000,4.6,Veterinarian,nao,35,celular,provavel,115,nao,nao,provavel,nao,nao,nao,,sem_site,nao existe agenda online para consultas e retornos,sistema de agendamento online + lembretes,automacao,"Oi, Animal Health Veterinary Clinic, tudo certo? Analisei sua presença digital e percebi que nao existe agenda online para consultas e retornos. Posso te entregar sistema de agendamento online + lembretes por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
Clínica Veterinária Dr.Pedro Paulo,(47) 99977-8545,,"Clínica Veterinária Dr.Pedro Paulo - R. Francisco Vahldieck, 1817 - Fortaleza, Blumenau - SC, 89056-001",155,4.800000,4.8,Veterinarian,nao,35,celular,provavel,115,nao,nao,provavel,nao,nao,nao,,sem_site,nao existe agenda online para consultas e retornos,sistema de agendamento online + lembretes,automacao,"Oi, Clínica Veterinária Dr.Pedro Paulo, tudo certo? Analisei sua presença digital e percebi que nao existe agenda online para consultas e retornos. Posso te entregar sistema de agendamento online + lembretes por R$ 300, com pagamento 100% após a entrega e prazo de 24h. Se fizer sentido, eu te mando o resumo e já começo."
